"t","y","dy","Filter"
"57450.00728","0.322767","0.03486","X4"
"57450.20865","0.299428","0.036656","X4"
"57450.39518","0.334628","0.036549","X4"
"57450.59435","0.296091","0.03142","X4"
"57450.80168","0.235341","0.02959","X4"
"57451.00761","0.340927","0.03565","X4"
"57451.25925","0.324903","0.03359","X4"
"57451.45764","0.334031","0.034922","X4"
"57451.65817","0.306391","0.03134","X4"
"57451.92777","0.286766","0.032544","X4"
"57452.06561","0.234002","0.02995","X4"
"57452.25559","0.310065","0.032683","X4"
"57452.45922","0.237487","0.02667","X4"
"57452.65517","0.336736","0.03675","X4"
"57452.92433","0.305883","0.029839","X4"
"57453.12937","0.334581","0.034398","X4"
"57453.25314","0.319839","0.032494","X4"
"57453.4509","0.355336","0.034677","X4"
"57453.6513","0.360354","0.03204","X4"
"57453.92078","0.338771","0.032443","X4"
"57454.05783","0.40524","0.045006","X4"
"57454.2489","0.300026","0.029982","X4"
"57454.45808","0.256428","0.023003","X4"
"57454.71455","0.343714","0.030682","X4"
"57454.98562","0.345592","0.03337","X4"
"57455.05374","0.466623","0.037632","X4"
"57455.24644","0.411415","0.039954","X4"
"57455.44485","0.471669","0.048611","X4"
"57455.71269","0.426167","0.040528","X4"
"57456.05021","0.568376","0.047716","X4"
"57456.17548","0.532928","0.045824","X4"
"57456.64166","0.446989","0.038252","X4"
"57456.90977","0.415902","0.033851","X4"
"57457.04605","0.447686","0.04486","X4"
"57457.31406","0.500383","0.045457","X4"
"57457.44838","0.679255","0.05257","X4"
"57457.70534","0.692007","0.050385","X4"
"57457.9061","0.859965","0.061331","X4"
"57458.04114","0.534883","0.051259","X4"
"57458.25092","0.884459","0.05992","X4"
"57458.44225","0.688888","0.053892","X4"
"57458.70314","0.749662","0.057082","X4"
"57458.90804","0.689995","0.065439","X4"
"57459.10789","0.663005","0.051527","X4"
"57459.30288","0.594583","0.050194","X4"
"57459.49903","0.61273","0.059987","X4"
"57459.96735","0.600765","0.055159","X4"
"57460.10849","0.656114","0.084088","X4"
"57460.49661","0.626482","0.047901","X4"
"57460.69951","0.75064","0.074622","X4"
"57460.89716","0.554096","0.075927","X4"
"57461.16724","0.677699","0.059928","X4"
"57461.6926","0.59151","0.04887","X4"
"57461.95835","0.644627","0.049124","X4"
"57462.1668","0.713328","0.065756","X4"
"57462.29006","0.530123","0.05543","X4"
"57462.49008","0.555787","0.044601","X4"
"57462.76081","0.527505","0.042374","X4"
"57463.02119","0.527801","0.04179","X4"
"57463.28647","0.641481","0.057395","X4"
"57463.55325","0.817737","0.05315","X4"
"57463.68628","0.622422","0.053755","X4"
"57463.88999","0.705363","0.058633","X4"
"57464.02645","0.752551","0.068807","X4"
"57464.29104","0.563893","0.045731","X4"
"57464.49471","0.550559","0.068168","X4"
"57464.68334","0.533905","0.052252","X4"
"57464.88565","0.527242","0.052163","X4"
"57465.02629","0.561113","0.05108","X4"
"57465.22621","0.478556","0.047653","X4"
"57465.41474","0.455605","0.039163","X4"
"57465.87904","0.411508","0.040308","X4"
"57466.0118","0.534551","0.050763","X4"
"57466.2119","0.442853","0.036678","X4"
"57466.41054","0.417206","0.032402","X4"
"57466.61045","0.442665","0.04406","X4"
"57466.94463","0.311166","0.034185","X4"
"57467.01241","0.250326","0.023469","X4"
"57467.20794","0.199512","0.023879","X4"
"57467.41388","0.280629","0.02858","X4"
"57467.61302","0.299619","0.030924","X4"
"57467.87236","0.278836","0.026903","X4"
"57468.0801","0.220286","0.026717","X4"
"57468.20388","0.326023","0.037621","X4"
"57468.40345","0.339885","0.029896","X4"
"57468.60264","0.362917","0.038882","X4"
"57468.94529","0.288502","0.030963","X4"
"57469.0077","0.325202","0.039478","X4"
"57469.2003","0.362919","0.03397","X4"
"57469.53354","0.435231","0.042416","X4"
"57469.79999","0.389784","0.037299","X4"
"57470.0113","0.306584","0.033594","X4"
"57470.19906","0.427615","0.038547","X4"
"57470.47754","0.486","0.037032","X4"
"57470.61129","0.441978","0.041674","X4"
"57470.81055","0.475266","0.043053","X4"
"57471.07678","0.462245","0.043521","X4"
"57471.33779","0.466688","0.042871","X4"
"57471.4705","0.436868","0.039593","X4"
"57471.66327","0.519814","0.041902","X4"
"57471.8605","0.382895","0.03787","X4"
"57472.13094","0.36918","0.035577","X4"
"57472.266","0.409409","0.03555","X4"
"57472.46725","0.331869","0.023726","X4"
"57472.65841","0.262238","0.02414","X4"
"57472.93223","0.505088","0.059688","X4"
"57473.06178","0.402447","0.046583","X4"
"57473.2628","0.427996","0.040529","X4"
"57473.46705","0.37378","0.033687","X4"
"57473.6611","0.329828","0.033008","X4"
"57473.9335","0.359194","0.029596","X4"
"57474.06125","0.428842","0.050879","X4"
"57474.31805","0.350586","0.033094","X4"
"57474.52112","0.346618","0.034399","X4"
"57474.64865","0.303068","0.039481","X4"
"57474.9827","0.316565","0.038821","X4"
"57475.11864","0.300739","0.031702","X4"
"57475.2474","0.268832","0.032976","X4"
"57475.44752","0.243896","0.03069","X4"
"57475.64683","0.204024","0.022556","X4"
"57475.97956","0.264186","0.029939","X4"
"57476.04751","0.252721","0.023792","X4"
"57476.18283","0.289377","0.033145","X4"
"57476.45246","0.277137","0.027937","X4"
"57476.59096","0.247684","0.028939","X4"
"57476.97736","0.399399","0.043055","X4"
"57477.04339","0.352846","0.036016","X4"
"57477.17536","0.401985","0.043638","X4"
"57477.44135","0.25716","0.029234","X4"
"57477.64233","0.199453","0.025722","X4"
"57477.90718","0.216098","0.025921","X4"
"57478.03922","0.258864","0.02438","X4"
"57478.23898","0.209895","0.019212","X4"
"57478.43817","0.28819","0.028549","X4"
"57478.63776","0.336258","0.035365","X4"
"57478.90342","0.303133","0.032868","X4"
"57479.10241","0.416256","0.038196","X4"
"57479.23611","0.345445","0.046234","X4"
"57479.4489","0.382459","0.032736","X4"
"57479.70409","0.373963","0.039805","X4"
"57479.9009","0.31037","0.040974","X4"
"57480.09887","0.281817","0.033571","X4"
"57480.3779","0.332678","0.044601","X4"
"57480.56284","0.363225","0.056035","X4"
"57480.69602","0.258132","0.032329","X4"
"57480.89789","0.327209","0.036775","X4"
"57481.16404","0.318275","0.03166","X4"
"57481.29626","0.286982","0.030868","X4"
